========================================
Experiment: P Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The position settled at aproxximately 5.0 m instead of the 10.0 m target
- Maximum observed position: 5.00 aproxx.
- A steady-state error of approximately 5.0 m remained.
- P control is not effective for removing steady-state error for spring mass damper

Explanation
-----------
At equilibrium, the velocity and acceleration become zero. The controller output (Kp × error) balances the spring restoring force (k × x). Since this balance occurs before the target position is reached, the error remains non-zero, resulting in a steady-state error.

Logs
----
time,position,velocity,controller_output
3.87, 4.59269, 1.39538, 10.8146
3.88, 4.60667, 1.39772, 10.7867
3.89, 4.62066, 1.39947, 10.7587
3.9, 4.63467, 1.40065, 10.7307
3.91, 4.64868, 1.40126, 10.7026
3.92, 4.66269, 1.4013, 10.6746
3.93, 4.6767, 1.40078, 10.6466
3.94, 4.6907, 1.3997, 10.6186
3.95, 4.70468, 1.39808, 10.5906
3.96, 4.71864, 1.39591, 10.5627
3.97, 4.73257, 1.3932, 10.5349
3.98, 4.74647, 1.38997, 10.5071
3.99, 4.76033, 1.38621, 10.4793
4, 4.77415, 1.38194, 10.4517
4.01, 4.78792, 1.37715, 10.4242
4.02, 4.80164, 1.37186, 10.3967
4.03, 4.8153, 1.36608, 10.3694
4.04, 4.8289, 1.3598, 10.3422
4.05, 4.84243, 1.35305, 10.3151
4.06, 4.85589, 1.34582, 10.2882
4.07, 4.86927, 1.33813, 10.2615
4.08, 4.88257, 1.32998, 10.2349
4.09, 4.89579, 1.32137, 10.2084
4.1, 4.90891, 1.31233, 10.1822
4.11, 4.92194, 1.30285, 10.1561
4.12, 4.93487, 1.29294, 10.1303
4.13, 4.94769, 1.28262, 10.1046
4.14, 4.96041, 1.27189, 10.0792
4.15, 4.97302, 1.26075, 10.054
4.16, 4.98551, 1.24922, 10.029
4.17, 4.99788, 1.23731, 10.0042
4.18, 5.01013, 1.22502, 9.97973
4.19, 5.02226, 1.21237, 9.95548
4.2, 5.03425, 1.19935, 9.9315
4.21, 5.04611, 1.18599, 9.90778
4.22, 5.05783, 1.17228, 9.88433
4.23, 5.06942, 1.15825, 9.86117
4.24, 5.08086, 1.14389, 9.83829
4.25, 5.09215, 1.12921, 9.8157
4.26, 5.10329, 1.11424, 9.79342
4.27, 5.11428, 1.09896, 9.77144
4.28, 5.12511, 1.0834, 9.74977
4.29, 5.13579, 1.06756, 9.72842
4.3, 5.1463, 1.05146, 9.70739
4.31, 5.15665, 1.03509, 9.68669
4.32, 5.16684, 1.01847, 9.66632
4.33, 5.17686, 1.00161, 9.64629
4.34, 5.1867, 0.984524, 9.6266
4.35, 5.19637, 0.967211, 9.60725
4.36, 5.20587, 0.949684, 9.58826
4.37, 5.21519, 0.931952, 9.56962
4.38, 5.22433, 0.914025, 9.55134
4.39, 5.23329, 0.895911, 9.53342
4.4, 5.24206, 0.877621, 9.51587
4.41, 5.25066, 0.859162, 9.49869
4.42, 5.25906, 0.840544, 9.48188
4.43, 5.26728, 0.821776, 9.46544
4.44, 5.27531, 0.802867, 9.44938
4.45, 5.28315, 0.783826, 9.43371
4.46, 5.29079, 0.764662, 9.41841
4.47, 5.29825, 0.745384, 9.40351
4.48, 5.30551, 0.726, 9.38899
4.49, 5.31257, 0.70652, 9.37486
4.5, 5.31944, 0.686952, 9.36112
4.51, 5.32611, 0.667304, 9.34777
4.52, 5.33259, 0.647587, 9.33482
4.53, 5.33887, 0.627807, 9.32226
4.54, 5.34495, 0.607974, 9.3101
4.55, 5.35083, 0.588097, 9.29834
4.56, 5.35651, 0.568183, 9.28698
4.57, 5.36199, 0.54824, 9.27601
4.58, 5.36728, 0.528278, 9.26545
4.59, 5.37236, 0.508304, 9.25528
4.6, 5.37724, 0.488327, 9.24551
4.61, 5.38193, 0.468354, 9.23615
4.62, 5.38641, 0.448393, 9.22718
4.63, 5.39069, 0.428453, 9.21861
4.64, 5.39478, 0.408541, 9.21044
4.65, 5.39867, 0.388664, 9.20267
4.66, 5.40236, 0.368831, 9.19529
4.67, 5.40585, 0.349048, 9.18831
4.68, 5.40914, 0.329324, 9.18172
4.69, 5.41224, 0.309665, 9.17553
4.7, 5.41514, 0.290079, 9.16973
4.71, 5.41784, 0.270573, 9.16432
4.72, 5.42035, 0.251153, 9.15929
4.73, 5.42267, 0.231828, 9.15466
4.74, 5.4248, 0.212602, 9.1504
