========================================
Experiment: PD Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Kd : 2.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The position settled at 5.0 m instead of the 10.0 m target
- Maximum observed position: 5.00
- A steady-state error of  5.0 m remained.
- PD control is not effective for removing steady-state error for spring mass damper

Explanation
-----------
At equilibrium, the velocity and acceleration become zero. The controller output (Kp × error) balances the spring restoring force (k × x). Since this balance occurs before the target position is reached, the error remains non-zero, resulting in a steady-state error.

Logs
----
time,position,velocity,controller_output
2.09, 5.10404, 0.238489, 9.31495
2.1, 5.10631, 0.227172, 9.33304
2.11, 5.10847, 0.216105, 9.35085
2.12, 5.11052, 0.205283, 9.36839
2.13, 5.11247, 0.194704, 9.38565
2.14, 5.11431, 0.184364, 9.40265
2.15, 5.11606, 0.17426, 9.41937
2.16, 5.1177, 0.16439, 9.43582
2.17, 5.11925, 0.154751, 9.45201
2.18, 5.1207, 0.145338, 9.46792
2.19, 5.12206, 0.13615, 9.48358
2.2, 5.12333, 0.127183, 9.49897
2.21, 5.12452, 0.118434, 9.5141
2.22, 5.12562, 0.109901, 9.52897
2.23, 5.12663, 0.101579, 9.54358
2.24, 5.12757, 0.0934663, 9.55793
2.25, 5.12842, 0.0855597, 9.57204
2.26, 5.1292, 0.077856, 9.58589
2.27, 5.1299, 0.0703522, 9.59949
2.28, 5.13054, 0.0630455, 9.61284
2.29, 5.13109, 0.0559327, 9.62595
2.3, 5.13158, 0.049011, 9.63881
2.31, 5.13201, 0.0422772, 9.65143
2.32, 5.13236, 0.0357286, 9.66381
2.33, 5.13266, 0.0293622, 9.67596
2.34, 5.13289, 0.023175, 9.68787
2.35, 5.13306, 0.0171641, 9.69955
2.36, 5.13317, 0.0113267, 9.711
2.37, 5.13323, 0.00565994, 9.72222
2.38, 5.13323, 0.00016088, 9.73321
2.39, 5.13318, -0.00517327, 9.74398
2.4, 5.13308, -0.0103453, 9.75453
2.41, 5.13292, -0.0153581, 9.76487
2.42, 5.13272, -0.0202143, 9.77498
2.43, 5.13247, -0.0249168, 9.78489
2.44, 5.13218, -0.0294682, 9.79458
2.45, 5.13184, -0.0338713, 9.80406
2.46, 5.13146, -0.0381287, 9.81334
2.47, 5.13104, -0.0422432, 9.82241
2.48, 5.13057, -0.0462174, 9.83129
2.49, 5.13007, -0.0500538, 9.83996
2.5, 5.12954, -0.0537551, 9.84844
2.51, 5.12896, -0.0573239, 9.85672
2.52, 5.12835, -0.0607627, 9.86482
2.53, 5.12771, -0.064074, 9.87272
2.54, 5.12704, -0.0672603, 9.88044
2.55, 5.12634, -0.0703242, 9.88797
2.56, 5.12561, -0.073268, 9.89532
2.57, 5.12484, -0.0760942, 9.9025
2.58, 5.12406, -0.0788051, 9.9095
2.59, 5.12324, -0.0814032, 9.91632
2.6, 5.1224, -0.0838908, 9.92297
2.61, 5.12154, -0.0862703, 9.92946
2.62, 5.12066, -0.0885438, 9.93578
2.63, 5.11975, -0.0907137, 9.94193
2.64, 5.11882, -0.0927822, 9.94792
2.65, 5.11787, -0.0947516, 9.95376
2.66, 5.11691, -0.096624, 9.95943
2.67, 5.11592, -0.0984015, 9.96496
2.68, 5.11492, -0.100086, 9.97033
